Title,User_rating,Release_date,Tagline,Runtime,Genre,Certification,Cast,Budget,Revenue
Spider-Man: Far From Home,74.44,"Jun 28, 2019",It’s time to step up.,        2h 9m    ,"['Action', 'Adventure', 'Science Fiction']",        PG-13      ,"['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal', 'Marisa Tomei', 'Jon Favreau', 'Zendaya', 'Jacob Batalon', 'Tony Revolori', 'Angourie Rice']",160000000.0,1131927996.0
Sisu,75.38,"Jan 27, 2023",Vengeance is golden.,        1h 31m    ,"['Action', 'War']",        R      ,"['Jorma Tommila', 'Aksel Hennie', 'Jack Doolan', 'Mimosa Willamo', 'Onni Tommila', 'Tatu Sinisalo', 'Wilhelm Enckell', 'Vincent Willestrand', 'Arttu Kapulainen']",6200000.0,13009289.0
The Dark Knight,85.13,"Jul 16, 2008",Welcome to a world without rules.,        2h 32m    ,"['Drama', 'Action', 'Crime', 'Thriller']",        PG-13      ,"['Christian Bale', 'Heath Ledger', 'Michael Caine', 'Gary Oldman', 'Aaron Eckhart', 'Maggie Gyllenhaal', 'Morgan Freeman', 'Nestor Carbonell', 'Monique Gabriela Curnen']",185000000.0,1004558444.0
A Haunting in Venice,67.55,"Sep 13, 2023",Death was only the beginning.,        1h 44m    ,"['Mystery', 'Thriller', 'Crime']",        PG-13      ,"['Kenneth Branagh', 'Kyle Allen', 'Camille Cottin', 'Jamie Dornan', 'Tina Fey', 'Jude Hill', 'Ali Khan', 'Emma Laird', 'Kelly Reilly']",60000000.0,121400000.0
May December,67.6,"Nov 16, 2023",Some roles are transformative.,        1h 57m    ,"['Drama', 'Comedy']",        R      ,"['Natalie Portman', 'Julianne Moore', 'Chris Tenzis', 'Charles Melton', 'Andrea Frankle', 'Gabriel Chung', 'Mikenzie Taylor', 'Elizabeth Yu', 'Piper Curda']",20000000.0,223505.0
Violent Night,74.28,"Nov 30, 2022",You better watch out.,        1h 52m    ,"['Action', 'Comedy', 'Thriller']",        R      ,"['David Harbour', 'John Leguizamo', ""Beverly D'Angelo"", 'Alex Hassell', 'Alexis Louder', 'Edi Patterson', 'Cam Gigandet', 'Leah Brady', 'André Eriksen']",20000000.0,75734910.0
Thor: Ragnarok,76.0,"Oct 02, 2017",No hammer. No problem.,        2h 11m    ,"['Action', 'Adventure', 'Science Fiction']",        PG-13      ,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Tessa Thompson', 'Jeff Goldblum', 'Idris Elba', 'Karl Urban', 'Mark Ruffalo', 'Anthony Hopkins']",180000000.0,855301806.0
Sonic the Hedgehog,73.38,"Feb 12, 2020",A whole new speed of hero.,        1h 39m    ,"['Action', 'Science Fiction', 'Comedy', 'Family']",        PG      ,"['Ben Schwartz', 'James Marsden', 'Tika Sumpter', 'Jim Carrey', 'Natasha Rothwell', 'Adam Pally', 'Neal McDonough', 'Lee Majdoub', 'Tom Butler']",85000000.0,319700000.0
Star Wars: The Force Awakens,72.89,"Dec 15, 2015",Every generation has a story.,        2h 16m    ,"['Adventure', 'Action', 'Science Fiction']",        PG-13      ,"['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', ""Lupita Nyong'o"", 'Andy Serkis']",245000000.0,2068223624.0
Interstellar,84.21,"Nov 05, 2014",Mankind was born on Earth. It was never meant to die here.,        2h 49m    ,"['Adventure', 'Drama', 'Science Fiction']",        PG-13      ,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Michael Caine', 'Bill Irwin', 'Ellen Burstyn', 'Mackenzie Foy', 'Casey Affleck', 'John Lithgow']",165000000.0,701729206.0
2001: A Space Odyssey,80.79,"Apr 02, 1968",The ultimate trip.,        2h 29m    ,"['Science Fiction', 'Mystery', 'Adventure']",        G      ,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Douglas Rain', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan']",12000000.0,71923560.0
Journey to Bethlehem,68.0,"Nov 09, 2023",The greatest story ever comes alive!,        1h 38m    ,"['Drama', 'Family', 'Fantasy']",        PG      ,"['Fiona Palomo', 'Milo Manheim', 'Antonio Banderas', 'Joel Smallbone', 'Stephanie Gil', 'Moriah Peters', 'Rizwan Manji', 'Omid Djalili', 'Geno Segers']",6000000.0,6200000.0
